Species,Coeff_a,Coeff_b
Angelfish,0.041607,2.8875
Angelfish - Other,0.041607,2.8875
Angelfish - Bicolor,0.0245,2.577
Angelfish - Keyhole,0.0245,2.577
Angelfish - Midnight,0.0245,2.577
Angelfish - Pearl Scale,0.0245,2.577
Angelfish - Two-Spined,0.0245,2.577
Anthias,0.01072,2.93
Barracuda,0.0058,3.013
Barracuda - Blackfin,0.0058,3.013
Barracuda - Great,0.0062,3.011
Barracuda - Yellowtail,0.0044,3.083
Big Eye,0.01738,2.9
Bream,0.0157,3.054
Bristletooth,0.0237,3.056
Butterflyfish,0.045,2.814
Boxfish,0.0145,3.122
Catfish,0.00617,2.99
Chub,0.0129,3.151
Cornetfish,0.0005,3.048
Cuttlefish,0,0
Damselfish,0.0226,3.132
Damselfish - Sergeantfish,0.0226,3.132
Emperor - Other,0.0165,3.042
Emperor - Humpnose Bream,0.023,3.022
Emperor - Longface,0.0294,2.851
Emperor - Orange-Striped,0.0173,3.016
Emperor - Ornate,0.0293,3.067
Emperor - Redfin Bream,0.023,3.022
Emperor - Thumbprint,0.017,3.042
Filefish,0.007,3.262
Filefish - Scrawled,0.007,3.262
Fusilier,0.0093,3.253
Goatfish,0.0104,3.224
Goatfish - Bicolor,0.0123,3.081
Goatfish - Dashdot,0.0131,3.122
Goatfish - Yellowstripe,0.012,3.101
Grouper,0.0122,3.053
Grouper - Other,0.0122,3.053
Grouper - Barramundi,0.00962,2.489
Grouper - Bluespot,0.0345,2.944
Grouper - Brown-Marbled,0.0134,3.057
Grouper - Coral,0.0107,3.14
Grouper - Honeycomb,0.0158,2.966
Grouper - Lyretail,0.0122,3.079
Grouper - Peacock,0.0093,3.181
Grouper - Slender,0.0014,3.548
Grunter,0.01698,2.99
Moorish Idol,0.01738,3.06
Mullet,0.0127,3.046
Needlefish - Crocodile or reef,0.0006,3.285
Needlefish,0.0006,3.285
Parrotfish,0.028,2.983
Parrotfish - Other,0.028,2.983
Parrotfish - Bleekers,0.0415,2.946
Parrotfish - Bowers,0.0234,2.956
Parrotfish - Bullethead,0.0243,2.969
Parrotfish - Humphead,0.0098,3.1329
Parrotfish - Japanese,0.0415,2.946
Parrotfish - Raggedtooth,0.014,3.15
Parrotfish - Spotted,0.0276,2.92
Parrotfish - Stareye,0.0122,3.167
Parrotfish - Steephead,0.0925,2.85
Parrotfish - Swarthy,0.01585,3.04
Parrotfish - Tricolor,0.01862,3.07
Porcupinefish,0.0678,2.784
Pufferfish - Other,0.0145,3.122
Pufferfish,0.0145,3.122
Pufferfish - Map,0.0915,2.672
Pufferfish - Star,0.0915,2.672
Pufferfish - White Spotted,0.0145,3.122
Rabbitfish,0.0145,3.122
Rabbitfish - Golden,0.0145,3.122
Rabbitfish - Scribbled,0.0199,3.107
Rabbitfish - Virgate,0.0145,3.122
Rabbitfish - White Spotted,0.0199,3.107
Sea Ray,0.01072,3.12
Sea Ray - Ribbontail,0.01072,3.12
Sea Ray - Stingray,0.01072,3.12
Sea Ray - Other,0.01072,3.12
Sea Snake,0.00102,2.97
Shark,0.0049,3.07
Shark - Whale Shark,0,0
Snapper,0.0151,3.057
Snapper - Blacktail,0.0385,2.933
Snapper - Blubberlip,0.0084,3.26
Snapper - Checkered,0.0421,2.887
Snapper - Humpback Red,0.0131,3.138
Snapper - Mangrove,0.0151,3.057
Snapper - Midnight,0.0274,2.91
Snapper - One-Spot,0.0222,2.913
Snapper - Red,0.0156,3.059
Snapper - Two-Spot,0.0151,3.057
Snappers - Schooling,0.0182,2.969
Soldierfish,0.0276,3.03
Spadefish,0.0443,2.951
Squid,0,0
Squirrelfish,0.0276,3.03
Surgeonfish,0.028,2.983
Surgeonfish - Other,0.028,2.983
Brushtail Tang,0.0291,2.993
Surgeonfish - Dark,0.028,2.983
Surgeonfish - Palette,0.028,2.983
Surgeonfish - Whitetail,0.028,2.983
Surgeonfish - Yellowmask,0.028,2.983
Sweeper,0.01585,3
Sweetlips,0.0197,2.969
Trevally - Other,0.0097,3.194
Trevally - Bluefin,0.0234,2.918
Trevally - Rainbow Runner,0.0845,2.556
Trevally - Scad,0.0097,3.194
Triggerfish - Other,0.019,3.078
Triggerfish,0.019,3.078
Triggerfish - Redtooth,0.023,3.022
Triggerfish - Titan,0.0244,3.018
Tuna,0.0162,2.856
Tuna - Other,0.0162,2.856
Tuna - Dogtooth,0.0162,2.856
Long Jawed Mackerel,0.0057,3.431
Tuna - Oriental Bonito,0.01023,3.05
Turtle - Other,0,0
Turtle - Green,0,0
Turtle - Hawksbill,0,0
Unicornfish - Other,0.0085,3.25
Unicornfish - Bluespine,0.0179,3.025
Unicornfish - Orangespine,0.0085,3.25
Unicornfish - Schooling,0.0085,3.25
Unicornfish - Spotted,0.0195,3.02
Wrasse,0.0113,3.136
Wrasse - Other,0.0113,3.136
Wrasse - Barred Thicklip,0.02888,3
Wrasse - Blackeye Thicklip,0.02858,3
Wrasse - Cigar,0.00417,3.09
Wrasse - Cleaner,0.00059,3.231
Wrasse - Floral,0.0197,2.993
Wrasse - Humphead,0.0113,3.136
Wrasse - Redbreasted,0.0318,3
Wrasse - Tripletail,0.0162,3.059